,averageRating,datePublished,genre,name,ratingCount,releasedCountry
15241,5.1,2015.0,Adventure,Her Composition,137.0,USA
15242,5.1,2015.0,Drama,Her Composition,137.0,USA
15243,5.1,2015.0,Fantasy,Her Composition,137.0,USA
15244,5.1,2015.0,Music,Her Composition,137.0,USA
15261,5.4,1990.0,Comedy,Almost an Angel,3492.0,USA
15262,5.4,1990.0,Drama,Almost an Angel,3492.0,USA
15269,5.7,1973.0,Fantasy,Las garras de Lorelei,570.0,USA
15270,5.7,1973.0,Horror,Las garras de Lorelei,570.0,USA
15271,7.5,1971.0,Crime,Get Carter,25225.0,USA
15272,7.5,1971.0,Thriller,Get Carter,25225.0,USA
15278,8.3,1950.0,Crime,Rashômon,127878.0,USA
15279,8.3,1950.0,Drama,Rashômon,127878.0,USA
15280,8.3,1950.0,Mystery,Rashômon,127878.0,USA
15281,7.1,2001.0,Comedy,La Ciénaga,4378.0,Argentina
15282,7.1,2001.0,Drama,La Ciénaga,4378.0,Argentina
15283,4.6,2014.0,Drama,Dark Hearts,334.0,USA
15284,4.6,2014.0,Thriller,Dark Hearts,334.0,USA
15285,7.0,1950.0,Adventure,The Flame and the Arrow,2972.0,USA
15286,7.0,1950.0,Drama,The Flame and the Arrow,2972.0,USA
15287,7.0,1950.0,History,The Flame and the Arrow,2972.0,USA
15288,7.0,1950.0,Romance,The Flame and the Arrow,2972.0,USA
15289,8.3,1963.0,Crime,To Kill a Mockingbird,262036.0,USA
15290,8.3,1963.0,Drama,To Kill a Mockingbird,262036.0,USA
15297,7.9,2018.0,Drama,Gali Guleiyan,131.0,India
15298,7.9,2018.0,Thriller,Gali Guleiyan,131.0,India
15299,5.3,1968.0,Fantasy,Something Weird,591.0,USA
15300,5.3,1968.0,Horror,Something Weird,591.0,USA
15301,7.9,2012.0,Documentary,Kovasikajuttu,1390.0,Finland
15302,7.9,2012.0,Comedy,Kovasikajuttu,1390.0,Finland
15303,7.9,2012.0,Drama,Kovasikajuttu,1390.0,Finland
15304,7.9,2012.0,Music,Kovasikajuttu,1390.0,Finland
15310,7.3,2016.0,Biography,Hymyilevä mies,3045.0,Finland
15311,7.3,2016.0,Drama,Hymyilevä mies,3045.0,Finland
15312,7.3,2016.0,Romance,Hymyilevä mies,3045.0,Finland
15313,7.3,2016.0,Sport,Hymyilevä mies,3045.0,Finland
15314,8.2,2013.0,Drama,Mandariinid,30556.0,USA
15315,8.2,2013.0,War,Mandariinid,30556.0,USA
15316,6.1,2008.0,Comedy,Swing Vote,16432.0,USA
15317,6.1,2008.0,Drama,Swing Vote,16432.0,USA
15318,4.5,2018.0,Action,Dead in a Week: Or Your Money Back,322.0,USA
15319,4.5,2018.0,Comedy,Dead in a Week: Or Your Money Back,322.0,USA
